DATE,LREM64TTJPM156S
1970-01-01,68.0550608333333342
1971-01-01,67.8236625000000008
1972-01-01,67.3307341666666650
1973-01-01,67.7538708333333350
1974-01-01,66.8537725000000000
1975-01-01,66.0628024999999975
1976-01-01,66.0898525000000025
1977-01-01,66.4281766666666667
1978-01-01,66.7174591666666675
1979-01-01,67.0598683333333333
1980-01-01,67.1036975000000017
1981-01-01,67.1401950000000000
1982-01-01,67.3068525000000000
1983-01-01,67.7200600000000000
1984-01-01,67.5214899999999992
1985-01-01,67.3618558333333325
1986-01-01,67.2319433333333333
1987-01-01,67.1268950000000008
1988-01-01,67.4694633333333292
1989-01-01,68.1070591666666667
1990-01-01,68.8059791666666667
1991-01-01,69.4580941666666667
1992-01-01,69.7435166666666667
1993-01-01,69.5679216666666667
1994-01-01,69.3441216666666658
1995-01-01,69.2519533333333325
1996-01-01,69.5659516666666683
1997-01-01,70.0651666666666658
1998-01-01,69.5617033333333350
1999-01-01,69.0213016666666675
2000-01-01,68.9892674999999983
2001-01-01,68.8395533333333333
2002-01-01,68.3136933333333350
2003-01-01,68.4590508333333333
2004-01-01,68.8151216666666667
2005-01-01,69.3720516666666658
2006-01-01,70.0350108333333342
2007-01-01,70.7713899999999975
2008-01-01,70.8685783333333358
2009-01-01,70.1734799999999992
2010-01-01,70.2834549999999992
2011-01-01,70.7980125000000000
2012-01-01,70.6210091666666658
2013-01-01,71.7609725000000000
2014-01-01,72.7626308333333317
2015-01-01,73.3976216666666658
2016-01-01,74.4688708333333333
2017-01-01,75.3711691666666658
2018-01-01,76.9426400000000000
2019-01-01,77.8135300000000017
2020-01-01,77.4494525000000000
